loop_count,loop_lengths,weighted_loop_length,var_row_sum,min_in_degree,var_in_degree,average_sum
15,[2 1 3 2 1 1 1 2 2 3 1 1 1 1 1],"[13.33333333  3.33333333 18.35497835 15.38461538  3.33333333  3.33333333
  3.33333333 14.28571429  9.09090909 18.35497835  3.33333333  3.33333333
  3.33333333  3.33333333  3.33333333]",0.02466666666666666,2,0.4444444444444444,0.29662927200482797
15,[2 1 3 2 1 1 1 2 2 3 1 1 1 1 1],"[13.33333333  3.33333333 18.35497835 15.38461538  3.33333333  3.33333333
  3.33333333 14.28571429  9.09090909 18.35497835  3.33333333  3.33333333
  3.33333333  3.33333333  3.33333333]",0.07124444444444443,1,2.2222222222222228,5.217395531835814
15,[2 1 3 2 1 1 1 2 2 3 1 1 1 1 1],"[13.33333333  3.33333333 18.35497835 15.38461538  3.33333333  3.33333333
  3.33333333 14.28571429  9.09090909 18.35497835  3.33333333  3.33333333
  3.33333333  3.33333333  3.33333333]",0.03442222222222222,2,0.6666666666666666,0.2971133001504001
15,[2 1 3 2 1 1 1 2 2 3 1 1 1 1 1],"[13.33333333  3.33333333 18.35497835 15.38461538  3.33333333  3.33333333
  3.33333333 14.28571429  9.09090909 18.35497835  3.33333333  3.33333333
  3.33333333  3.33333333  3.33333333]",0.061888888888888896,1,1.5555555555555556,4.10087661644665
15,[2 1 3 2 1 1 1 2 2 3 1 1 1 1 1],"[13.33333333  3.33333333 18.35497835 15.38461538  3.33333333  3.33333333
  3.33333333 14.28571429  9.09090909 18.35497835  3.33333333  3.33333333
  3.33333333  3.33333333  3.33333333]",0.034444444444444444,1,1.3333333333333333,0.2968344868954263
15,[2 1 3 2 1 1 1 2 2 3 1 1 1 1 1],"[13.33333333  3.33333333 18.35497835 15.38461538  3.33333333  3.33333333
  3.33333333 14.28571429  9.09090909 18.35497835  3.33333333  3.33333333
  3.33333333  3.33333333  3.33333333]",0.0729111111111111,1,2.4444444444444446,5.239812556655429
15,[2 1 3 2 1 1 1 2 2 3 1 1 1 1 1],"[13.33333333  3.33333333 18.35497835 15.38461538  3.33333333  3.33333333
  3.33333333 14.28571429  9.09090909 18.35497835  3.33333333  3.33333333
  3.33333333  3.33333333  3.33333333]",0.038755555555555564,1,0.8888888888888888,0.2971136476192051
15,[2 1 3 2 1 1 1 2 2 3 1 1 1 1 1],"[13.33333333  3.33333333 18.35497835 15.38461538  3.33333333  3.33333333
  3.33333333 14.28571429  9.09090909 18.35497835  3.33333333  3.33333333
  3.33333333  3.33333333  3.33333333]",0.06622222222222222,1,1.7777777777777777,5.195919242745591
15,[2 1 3 2 1 1 1 2 2 3 1 1 1 1 1],"[13.33333333  3.33333333 18.35497835 15.38461538  3.33333333  3.33333333
  3.33333333 14.28571429  9.09090909 18.35497835  3.33333333  3.33333333
  3.33333333  3.33333333  3.33333333]",0.034444444444444444,1,1.3333333333333333,0.29703188395819097
15,[2 1 3 2 1 1 1 2 2 3 1 1 1 1 1],"[13.33333333  3.33333333 18.35497835 15.38461538  3.33333333  3.33333333
  3.33333333 14.28571429  9.09090909 18.35497835  3.33333333  3.33333333
  3.33333333  3.33333333  3.33333333]",0.0729111111111111,1,2.4444444444444446,5.239948718531403
15,[2 1 3 2 1 1 1 2 2 3 1 1 1 1 1],"[13.33333333  3.33333333 18.35497835 15.38461538  3.33333333  3.33333333
  3.33333333 14.28571429  9.09090909 18.35497835  3.33333333  3.33333333
  3.33333333  3.33333333  3.33333333]",0.034977777777777774,1,0.8888888888888888,0.2946900053636026
15,[2 1 3 2 1 1 1 2 2 3 1 1 1 1 1],"[13.33333333  3.33333333 18.35497835 15.38461538  3.33333333  3.33333333
  3.33333333 14.28571429  9.09090909 18.35497835  3.33333333  3.33333333
  3.33333333  3.33333333  3.33333333]",0.05213333333333333,1,1.3333333333333333,4.099031753654707
15,[2 1 3 2 1 1 1 2 2 3 1 1 1 1 1],"[13.33333333  3.33333333 18.35497835 15.38461538  3.33333333  3.33333333
  3.33333333 14.28571429  9.09090909 18.35497835  3.33333333  3.33333333
  3.33333333  3.33333333  3.33333333]",0.06804444444444445,1,2.0000000000000004,4.465198557480933
15,[2 1 3 2 1 1 1 2 2 3 1 1 1 1 1],"[13.33333333  3.33333333 18.35497835 15.38461538  3.33333333  3.33333333
  3.33333333 14.28571429  9.09090909 18.35497835  3.33333333  3.33333333
  3.33333333  3.33333333  3.33333333]",0.05777777777777778,1,1.7777777777777777,0.2946042808850092
15,[2 1 3 2 1 1 1 2 2 3 1 1 1 1 1],"[13.33333333  3.33333333 18.35497835 15.38461538  3.33333333  3.33333333
  3.33333333 14.28571429  9.09090909 18.35497835  3.33333333  3.33333333
  3.33333333  3.33333333  3.33333333]",0.10184444444444445,1,3.1111111111111116,4.500592846462834
15,[2 1 3 2 1 1 1 2 2 3 1 1 1 1 1],"[13.33333333  3.33333333 18.35497835 15.38461538  3.33333333  3.33333333
  3.33333333 14.28571429  9.09090909 18.35497835  3.33333333  3.33333333
  3.33333333  3.33333333  3.33333333]",0.03831111111111111,1,0.8888888888888888,0.2948914080153441
